"cluster","primary_keyword","secondary_keywords","intent","serp_page_type","target_url","url_state","decision","monetization_route","medical_review_level","serp_research_status","semrush_status","notes"
"skin","טיפול בצלקות אקנה","העלמת צלקות אקנה|לייזר לצלקות אקנה","mixed","treatment-guide","/acne-scar-treatment/","new","hold","provider-match","high","pending","blocked-connector","Needs treatment-comparison evidence."
"skin","טיפול לייזר לפנים","לייזר לחידוש עור|טיפולי לייזר לעור","commercial","treatment-guide","/laser-skin-treatment/","new","hold","provider-match","high","pending","blocked-connector","Avoid overlap with pigmentation and scar pages."
"plastic-surgery","ניתוחים פלסטיים","כירורגיה פלסטית|ייעוץ מנתח פלסטי","commercial-local","pillar-directory","/plastic-surgery-consultation/","existing","keep-improve","surgeon-match","high","sampled-2026-07-10","blocked-connector","Observed clinic, surgeon, local, and video intent."
"plastic-surgery","ניתוח אף","ניתוח אף אסתטי|ניתוח אף רפואי","commercial-informational","procedure-guide","/nose-surgery/","new","hold","surgeon-match","high","pending","blocked-connector","Audit legacy content and compare with cost SERP."
"plastic-surgery","ניתוח אף מחיר","כמה עולה ניתוח אף|מחיר ניתוח אף רפואי","commercial","price-guide","/nose-surgery-cost/","existing","keep-improve","consultation-request","high","pending","blocked-connector","Existing commercial page."
"plastic-surgery","הגדלת חזה","ניתוח הגדלת חזה|שתלים בחזה","commercial-informational","procedure-guide","/breast-augmentation/","new","hold","surgeon-match","high","pending","blocked-connector","Audit legacy URLs before creation."
"plastic-surgery","הגדלת חזה מחיר","כמה עולה הגדלת חזה|מחיר שתלים בחזה","commercial","price-guide","/breast-augmentation-cost/","existing","keep-improve","consultation-request","high","pending","blocked-connector","Existing commercial page."
"plastic-surgery","הרמת חזה","ניתוח הרמת חזה|הרמת חזה ללא שתלים","commercial","procedure-guide","/breast-lift/","new","hold","surgeon-match","high","pending","blocked-connector","Separate only after overlap test with augmentation/reduction."
"plastic-surgery","הקטנת חזה","ניתוח הקטנת חזה|הקטנת חזה כללית מושלם","commercial","procedure-guide","/breast-reduction/","new","hold","surgeon-match","high","pending","blocked-connector","Insurance intent may need its own section, not a new page."
"plastic-surgery","שאיבת שומן","ניתוח שאיבת שומן|עיצוב הגוף","commercial","procedure-guide","/liposuction/","new","hold","surgeon-match","high","pending","blocked-connector","Audit existing cost page and legacy posts."
"plastic-surgery","שאיבת שומן מחיר","כמה עולה שאיבת שומן|מחיר עיצוב גוף","commercial","price-guide","/liposuction-cost/","existing","keep-improve","consultation-request","high","pending","blocked-connector","Existing commercial page."
"plastic-surgery","מתיחת בטן","ניתוח מתיחת בטן|מיני מתיחת בטן","commercial","procedure-guide","/tummy-tuck/","new","hold","surgeon-match","high","pending","blocked-connector","High-value hypothesis."
"plastic-surgery","מתיחת פנים","ניתוח מתיחת פנים|מתיחת צוואר","commercial","procedure-guide","/facelift/","new","hold","surgeon-match","high","pending","blocked-connector","High-value hypothesis."
"plastic-surgery","ניתוח עפעפיים","הרמת עפעפיים|עפעפיים עליונים","commercial","procedure-guide","/eyelid-surgery/","new","hold","surgeon-match","high","pending","blocked-connector","Check ophthalmic-plastic versus cosmetic intent."
"hair-transplant","השתלת שיער","השתלות שיער|השתלת שיער לגברים","mixed-commercial","pillar-guide","/hair-transplant-consultation/","existing","keep-improve","clinic-match","high","sampled-2026-07-10","blocked-connector","Observed guide, clinic, institutional, AI, and video mix."
"hair-transplant","השתלת שיער מחיר","השתלת שיער בישראל מחיר|כמה עולה השתלת שיער","commercial","price-guide","/hair-transplant-israel-cost/","existing","keep-improve","quote-request","high","sampled-2026-07-10","blocked-connector","Distinct price SERP; decide whether Israel modifier is secondary."
"hair-transplant","השתלת שיער בטורקיה מחיר","מחיר השתלת שיער בטורקיה|חבילת השתלת שיער טורקיה","commercial","price-guide","/hair-transplant-turkey-cost/","existing","keep-improve","international-clinic-match","high","pending","blocked-connector","Existing page; requires travel and continuity-of-care safeguards."
"hair-transplant","השתלת שיער בטורקיה או בישראל","השוואת השתלת שיער ישראל טורקיה","commercial-investigation","comparison-guide","/hair-transplant-israel-vs-turkey/","new","hold","comparison-lead","high","pending","blocked-connector","Create only if not cannibalized by the two price pages."
"hair-transplant","השתלת שיער FUE","שיטת FUE|FUE שיער","informational-commercial","method-guide","/hair-transplant-fue/","new","hold","clinic-match","high","pending","blocked-connector","Method SERP overlap test required."
"hair-transplant","השתלת שיער DHI","שיטת DHI|DHI שיער","informational-commercial","method-guide","/hair-transplant-dhi/","new","hold","clinic-match","high","pending","blocked-connector","Method SERP overlap test required."
"laser-hair-removal","הסרת שיער בלייזר","לייזר להסרת שיער|הסרת שיער לצמיתות","commercial-local","pillar-guide","/laser-hair-removal-private/","existing","keep-improve","clinic-match","high","pending","blocked-connector","Avoid permanence guarantees."
"laser-hair-removal","הסרת שיער בלייזר מחיר","מחיר לייזר לפי אזור|חבילת הסרת שיער מחיר","commercial","price-guide","/laser-hair-removal-price/","new","hold","quote-request","high","pending","blocked-connector","Validate distinct price SERP and legacy overlap."
"private-medicine","רופא פרטי","רופא מומחה פרטי|תור לרופא פרטי","commercial-local","service-directory","/private-doctor-appointment/","existing","keep-improve","appointment-coordination","high","pending","blocked-connector","Existing service page; broad competitive head term."
"private-medicine","חוות דעת רפואית שנייה","חוות דעת שנייה רופא מומחה|ייעוץ רפואי נוסף","commercial","service-guide","/medical-second-opinion/","existing","keep-improve","paid-coordination","high","pending","blocked-connector","No medical judgment by the platform."
"private-medicine","MRI פרטי","MRI תור מהיר|CT פרטי|תור CT","commercial","service-guide","/mri-ct-appointment/","existing","keep-improve","imaging-coordination","high","pending","blocked-connector","Primary keyword provisional; test whether CT needs a separate URL."
"private-medicine","החזר ביטוח בריאות","החזר על רופא פרטי|החזר ניתוח פרטי","commercial-informational","service-guide","/health-insurance-refund/","existing","keep-improve","refund-support","high","pending","blocked-connector","Never promise eligibility or approval."
"private-medicine","ביקור רופא בבית","רופא פרטי עד הבית|הזמנת רופא הביתה","transactional-local","service-guide","/doctor-home-visit/","existing","keep-improve","home-visit-coordination","high","pending","blocked-connector","Non-emergency boundary above the fold."
"private-medicine","קונסיירז' רפואי","ליווי רפואי פרטי|ניהול תהליך רפואי","commercial","service-guide","/premium-health-services/","existing","keep-improve","paid-concierge","high","pending","blocked-connector","Administrative coordination, not clinical case management."
"wellness-diagnostics","בדיקות סקר מנהלים","בדיקות מנהלים פרטיות|בדיקות תקופתיות פרטיות","commercial","service-comparison","/executive-health-checkup/","new","hold","diagnostic-coordination","high","pending","blocked-connector","Premium wellness entry; verify provider supply."
"wellness-diagnostics","רפואה מונעת פרטית","בדיקות מניעה פרטיות|מרפאה לרפואה מונעת","commercial-informational","pillar-guide","/private-preventive-medicine/","new","hold","clinic-match","high","pending","blocked-connector","Claims must follow guidelines."
"wellness-diagnostics","בדיקות גנטיות פרטיות","בדיקה גנטית מחיר|ייעוץ גנטי פרטי","commercial","service-guide","/private-genetic-testing/","new","hold","clinic-match","high","pending","blocked-connector","Consent, interpretation, and privacy need specialist review."
"wellness-diagnostics","בדיקת שינה פרטית","מעבדת שינה פרטית|בדיקת שינה ביתית מחיר","commercial","service-guide","/private-sleep-test/","new","hold","clinic-match","high","pending","blocked-connector","Test home versus lab intent."
"wellness-diagnostics","רפואת אריכות ימים","מרפאת longevity|רפואת לונג'ביטי","emerging-commercial","evidence-guide","/longevity-medicine/","new","hold","clinic-match","maximum","pending","blocked-connector","Emerging field; prohibit anti-aging outcome claims."
"providers","אינדקס רופאים פרטיים","רופאים מומלצים|מרפאות פרטיות","commercial-local","directory-hub","/doctor-clinic-index/","existing","keep-improve","provider-subscription","high","pending","blocked-connector","Recommendation language requires transparent verified methodology."
"providers","רופאים לרפואה אסתטית","רופא אסתטיקה מומלץ|קליניקה לרפואה אסתטית","commercial-local","specialty-directory","/aesthetic-doctors/","new","hold","provider-subscription","high","sampled-2026-07-10","blocked-connector","Requires real verified inventory before indexation."
"providers","מנתחים פלסטיים","מנתח פלסטי מומלץ|כירורג פלסטי","commercial-local","specialty-directory","/plastic-surgeons/","new","hold","provider-subscription","high","sampled-2026-07-10","blocked-connector","Requires methodology and inventory."
"providers","מרפאות השתלת שיער","מומחה להשתלת שיער|קליניקה להשתלת שיער","commercial-local","specialty-directory","/hair-transplant-clinics/","new","hold","provider-subscription","high","pending","blocked-connector","Verify who performs each procedure and credentials."
"premium-dental","השתלת שיניים","שתלים דנטליים|רופא שיניים להשתלות","commercial-local","pillar-directory","/dental-implants/","new","hold","dentist-match","high","pending","blocked-connector","Phase 3 after core silos and provider model work."
"premium-dental","השתלת שיניים all on 4","all on 4 מחיר|שיקום פה על 4 שתלים","commercial","procedure-guide","/all-on-4-dental-implants/","new","hold","dentist-match","high","pending","blocked-connector","Phase 3; strong evidence and alternatives required."
"premium-dental","ציפוי חרסינה לשיניים","ציפויי שיניים מחיר|למינייט לשיניים","commercial","procedure-price-guide","/dental-veneers/","new","hold","dentist-match","high","pending","blocked-connector","Phase 3."
"premium-dental","יישור שיניים שקוף","אינוויזליין מחיר|קשתיות שקופות","commercial","procedure-price-guide","/clear-aligners/","new","hold","dentist-match","high","pending","blocked-connector","Phase 3; brand versus generic SERP test required."
