risk_id,category,risk,likelihood,impact,leading_indicator,prevention,mitigation,owner,decision_gate,contingency,status,evidence_or_notes
RISK-035,AI,"General-purpose LLM gives diagnosis, triage, treatment, medication or image-analysis advice",Medium,Critical,Red-team prompts elicit clinical recommendations; users rely on output; safety escalations,Scope blocks; risk classifier; refusal/escalation; public-corpus RAG only for education; human review; regulated vendor boundary,Disable feature; publish correction/warning; incident review; notify advisers/users as appropriate,AI safety review board + medical governance,"No M4 AI launch without regulated model, validation and safety case",Citation-grounded navigation and administrative assistance only,OPEN,Owner brief explicitly prohibits general-purpose clinical LLM use.
RISK-036,AI,AI hallucination or citation mismatch corrupts public content or provider/product data,High,High,Unsupported statements; broken citations; wrong provider/device facts; low evaluation scores,Grounded retrieval; source locking; structured data; per-claim citation; human approval; automated contradiction/freshness tests,Retract/correct; disable generation path; audit corpus/model/version; add regression test,AI safety lead + editorial/data owners,No autonomous publication or data mutation,Draft-only assistant with mandatory review,OPEN,NIST/WHO governance and claim-ledger controls.
RISK-037,AI,"Vendor/model lock-in compromises portability, cost or governance",Medium,High,Proprietary prompts/data/tools; no export; price shocks; performance tied to one model,Provider-neutral orchestration; standardized retrieval/data; eval suite; contract exit/export; dual-provider plan,Migrate model/vendor using eval baseline; degrade to search/manual operations,CTO + procurement,No strategic data stored only in vendor-specific format,Open standards and WordPress/GitHub-controlled source of truth,OPEN,Portability is a core owner constraint.
RISK-038,3D/Media,Patient-specific aesthetic simulation implies guaranteed outcome or mishandles biometric imagery,Medium,Critical,Users/providers treat simulation as prediction; no consent/retention control; complaints,Separate education from prediction; licensed vendor; consent; disclaimer; standardized capture; deletion; clinician-led consultation,Disable simulation; purge data; correct marketing; provider suspension; legal/privacy incident response,3D product owner + privacy + medical governance,No patient-specific simulation without full safety/privacy/legal sign-off,Educational 3D anatomy/procedure assets only,OPEN,High-risk distinction in owner brief.
RISK-039,Performance,"Heavy media, search, commerce or 3D degrades Core Web Vitals and mobile conversion",High,High,LCP/INP/CLS regressions; high mobile abandonment; asset weight exceeds budget,Performance budgets; selective interactivity; optimized images/video/glTF; CDN; lazy load; real-user monitoring,Disable/defer heavy modules; compress assets; simplify templates; cache/query optimization,Engineering + UX,No release if agreed performance budget fails on representative mobile devices,Still/video fallback; server-rendered core journey,OPEN,Technical architecture pending.
RISK-040,Accessibility,"Hebrew RTL, forms, comparison, booking, commerce or 3D are inaccessible",High,High,Keyboard/screen-reader failures; focus order wrong in RTL; unlabeled errors; complaints,WCAG 2.2 target; accessible component system; Hebrew/RTL testing; alternatives for media/3D; audits,Hotfix blockers; provide accessible alternative; remediation plan; user support,Accessibility owner + UX + engineering,No public release with critical accessibility failures,Simpler accessible HTML flow/manual assistance,OPEN,WCAG 2.2 baseline; Israeli legal scope pending.
RISK-041,Operations,Over-expansion across 36 workstreams burns capital before evidence or operating capacity,High,Critical,Many partial launches; low-quality content; weak supply; missed SLAs; cash runway falls,Wave gates; portfolio scoring; 2–3 wedge pilots; owner decisions; kill criteria; capacity-based plans,Stop unfunded features/verticals; concentrate team; renegotiate vendors; preserve core assets,Owner/GM + board,"No next phase without evidence, capacity and budget gate",Authority platform + one validated revenue engine,OPEN,Central pre-mortem conclusion.
RISK-042,Finance,Unit economics are built on invented benchmarks or untracked funnel events,High,Critical,Model lacks source/assumption labels; definitions differ; revenue/refunds not reconciled,Source/assumption/sensitivity separation; event dictionary; cohort data; low/base/high scenarios; finance sign-off,Rebuild model; freeze scaling; run paid/supply pilots; improve instrumentation,CFO + analytics + GM,No scale investment without reconciled unit economics,Use capped pilots and milestone funding,OPEN,24_FINANCIAL_MODEL.xlsx is intentionally pending.
RISK-043,Brand,"A privacy, medical, provider, review or fulfillment incident damages national trust",Medium,Critical,"Complaint volume, press/social escalation, partner churn, branded-search sentiment decline",Transparent policies; incident ownership; training; audits; escalation; corrections; support SLAs,Incident command; factual communication; user remediation; independent review; corrective actions,GM + communications + relevant risk owner,Board-level incident thresholds and response plan required before scale,Pause affected vertical/feature while core knowledge portal remains available,OPEN,"Trust is a prerequisite, not a marketing layer."
RISK-044,Analytics,"KPI optimization rewards lead volume over safety, relevance, consent or user value",High,High,Lead volume rises while refunds/complaints/no-shows or provider churn worsen,North-star plus guardrails; quality/risk KPIs; provider/user outcomes; no sensitive data in analytics,Change incentives; stop experiment; refund/repair; revise scorecards and compensation,Analytics lead + GM + compliance,No experiment without quality and risk metrics,"Optimize qualified matches, verified supply and resolved user tasks instead",OPEN,KPI tree pending Wave 8.
RISK-045,Data,"Provider, product, price and terminology entities lack stable IDs/versioning/provenance",High,High,Duplicates; broken relationships; conflicting prices/status; AI retrieval errors,Canonical IDs; source/version fields; change history; dedupe; ownership and stewardship,Data cleanup; merge with audit trail; suppress uncertain fields; rebuild indexes,Data/product lead,No scaled listings or AI retrieval before entity model and stewardship exist,Manual curated cohort,OPEN,Ontology and product/provider data models pending Waves 4–6.
RISK-046,Legal/Commercial,Refund/replacement/lead contracts conflict with site promises or operating reality,Medium,High,Provider disputes; inconsistent credits; consumer complaints; revenue leakage,"Definitions, SLAs, acceptance/rejection, expiry, duplicates, replacement/refund terms and audit trail",Apply fair interim policy; reconcile accounts; amend contracts/content; retrain sales/ops,Revenue operations + counsel,No per-lead/booking fee before contract and event model sign-off,Subscription or pilot service fee,OPEN,Owner contracts and CRM data pending.
RISK-047,Partnerships,Anchor hospital/clinic/supplier partners demand exclusivity or influence editorial decisions,Medium,High,Contract terms constrain neutrality; content changes tied to commercial deal,Editorial independence clause; conflict disclosure; diversified supply; governance review,Reject/renegotiate; disclose; recuse; diversify partners,GM + editorial board + counsel,No strategic partnership that compromises ranking/editorial independence,Non-exclusive pilot with clear data/service scope,OPEN,Category-leader ambition depends on trust and neutral methodology.
