cluster,primary_keyword,secondary_keywords,intent,serp_page_type,target_url,existing_or_new,keep_create_merge_hold_noindex,parent_hub,inbound_links_from,outbound_money_path,monetization_route,medical_review_level,schema_candidates,SERP_research_status,Semrush_status,cannibalization_notes
Medical aesthetics,רפואה אסתטית ירושלים,NONE IN WAVE 0 SEED,Local/city provider discovery,Provider/clinic listing or discovery page,/aesthetic-medicine/jerusalem/,new candidate; legacy equivalent check required,create candidate,/aesthetic-medicine-treatments/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified local provider discovery,M3,BreadcrumbList; ItemList; Physician/MedicalClinic/MedicalBusiness only where verified; Organization; WebPage,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,ניתוחים פלסטיים,ניתוח פלסטי פרטי,Provider/clinic discovery + commercial investigation; Treatment/procedure education + provider discovery,Authority hub / decision guide,/plastic-surgery-consultation/,existing public or link-discovered; exact crawl/index state DATA REQUIRED,keep-improve,/plastic-surgery-consultation/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified specialist discovery; consultation request; Verified specialist/clinic discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","2 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,ניתוח אף,ניתוח אף מחיר; ניתוח אף החלמה; ניתוח אף סיכונים,"Price, cost and financing; Risk, side effects and recovery; Treatment/procedure education + provider discovery",Integrated decision + price guide,/nose-surgery-cost/,existing public or link-discovered; exact crawl/index state DATA REQUIRED,keep-improve,/plastic-surgery-consultation/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Consultation; price observation; financing referral only after legal review; Neutral provider discovery after education; No aggressive CTA; optional specialist questions/checklist; Verified specialist discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; ItemList; Offer only when a real verified offer exists,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","4 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,הגדלת חזה,הגדלת חזה מחיר; הגדלת חזה החלמה,"Price, cost and financing; Risk, side effects and recovery; Treatment/procedure education + provider discovery",Integrated decision + price guide,/breast-augmentation-cost/,existing public or link-discovered; exact crawl/index state DATA REQUIRED,keep-improve,/plastic-surgery-consultation/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Consultation; price observation; financing only after review; Neutral provider discovery after education; Verified specialist discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; ItemList; Offer only when a real verified offer exists,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","3 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,הקטנת חזה,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/breast-reduction/,new candidate; legacy equivalent check required,create candidate,/plastic-surgery-consultation/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified specialist discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,הרמת חזה,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/breast-lift/,new candidate; legacy equivalent check required,create candidate,/plastic-surgery-consultation/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified specialist discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,שאיבת שומן,שאיבת שומן מחיר,"Price, cost and financing; Treatment/procedure education + provider discovery",Integrated decision + price guide,/liposuction/,new candidate; legacy equivalent check required,create candidate,/plastic-surgery-consultation/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Consultation; price observation; Verified specialist discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; ItemList; Offer only when a real verified offer exists,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","2 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,מתיחת בטן,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/tummy-tuck/,new candidate; legacy equivalent check required,create candidate,/plastic-surgery-consultation/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified specialist discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,מתיחת פנים,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/facelift/,new candidate; legacy equivalent check required,create candidate,/plastic-surgery-consultation/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified specialist discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,הרמת עפעפיים,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/eyelid-surgery/,new candidate; legacy equivalent check required,create candidate,/plastic-surgery-consultation/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified specialist discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,גינקומסטיה,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/gynecomastia/,new candidate; legacy equivalent check required,create candidate,/plastic-surgery-consultation/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified specialist discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",השתלת שיער,השתלת שיער מחיר; השתלת שיער בישראל; השתלת שיער FUE; השתלת שיער DHI,"Local/national provider discovery; Price, cost and financing; Treatment method education; Treatment/procedure education + provider discovery",Provider/clinic listing or discovery page,/hair-transplant-consultation/,existing public or link-discovered; exact crawl/index state DATA REQUIRED,keep-improve,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Consultation; transparent price observation; Provider discovery after method education; Verified clinic/provider discovery; Verified clinic/provider discovery; consultation request,M3,BreadcrumbList; ItemList; Physician/MedicalClinic/MedicalBusiness only where verified; Organization; WebPage,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","5 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",השתלת שיער בטורקיה,NONE IN WAVE 0 SEED,Medical travel + price + provider discovery,Service decision/coordination page,/medical-travel/hair-transplant-turkey/,new candidate; legacy equivalent check required,create candidate,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Paid concierge/coordination only with vetted partners and full disclosure,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",נשירת שיער,NONE IN WAVE 0 SEED,Symptom and condition education,Medical education / treatment decision page,/hair-loss/,new candidate; legacy equivalent check required,create candidate,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Provider discovery only after causes/red flags; eligible products separately governed,M2,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",טיפול בנשירת שיער,NONE IN WAVE 0 SEED,Treatment education and alternatives,Medical education / treatment decision page,/hair-loss/treatments/,new candidate; legacy equivalent check required,create candidate,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Provider discovery; eligible product navigation,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",PRP לשיער,NONE IN WAVE 0 SEED,Treatment/procedure education,Medical education / treatment decision page,/prp-hair-treatment/,new candidate; legacy equivalent check required,create candidate,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Provider discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",מינוקסידיל,NONE IN WAVE 0 SEED,Drug/active ingredient education,Medicine/ingredient/safety reference page,/medicines/minoxidil/,new candidate; legacy equivalent check required,create candidate,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Licensed pharmacy navigation only after legal model; no automated advice,M3,BreadcrumbList; MedicalWebPage; Drug/DrugClass where semantically correct; Article; Organization,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",הסרת שיער בלייזר,הסרת שיער בלייזר מחיר; הסרת שיער בלייזר לגברים,"Price, cost and packages; Treatment/procedure education; Treatment/procedure education + provider discovery",Integrated decision + price guide,/laser-hair-removal-private/,existing public or link-discovered; exact crawl/index state DATA REQUIRED,keep-improve,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Clinic discovery; transparent package comparison; Verified clinic discovery; Verified clinic discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; ItemList; Offer only when a real verified offer exists,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","3 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",הסרת שיער בלייזר תל אביב,NONE IN WAVE 0 SEED,Local/city provider discovery,Provider/clinic listing or discovery page,/laser-hair-removal/tel-aviv/,new candidate; legacy equivalent check required,create candidate,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified local clinic discovery,M3,BreadcrumbList; ItemList; Physician/MedicalClinic/MedicalBusiness only where verified; Organization; WebPage,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",טיפול באקנה,NONE IN WAVE 0 SEED,Condition and treatment education,Medical education / treatment decision page,/acne-treatment/,new candidate; legacy equivalent check required,create candidate,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Dermatologist discovery; eligible product navigation,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
