source_id,title,publisher,url,source_type,geography,publication_date,accessed_date,authority_level,workstreams_used,key_claims_supported,limitations,archive_url_if_any
SRC-0031,RealSelf overview,Wikipedia contributors,https://en.wikipedia.org/wiki/RealSelf,Secondary discovery source,United States / global,Current page; exact revision date DATA REQUIRED,2026-07-10,D,"2, 13, 19, 27",Discovery-only baseline describing aesthetics treatment/provider marketplace and reviews.,"Not sufficient for current scale, verification, pricing, editorial, or business-model claims; replace with official sources in Wave 2.",
SRC-0032,Israeli Ministry of Health legal/regulatory source set,Ministry of Health,DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1,"1, 3, 13, 18, 24","Provider licensing, specialties, medical advertising, devices/AMAR, drugs/pharmacy, public health data","Official source URLs and exact legal instruments must be located, versioned, and checked by qualified Israeli advisers.",
SRC-0033,Privacy Protection Law and Amendment 13 source set,Israeli legislation / Privacy Protection Authority,DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1,"15, 20, 23–24, 32, 35","Privacy roles, database obligations, consent, security, direct marketing, transfer, data subject rights","Exact consolidated text, effective dates, regulations, guidance, and applicability to the operating model remain DATA REQUIRED.",
SRC-0034,Israeli accessibility obligations source set,Israeli legislation / competent authority,DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1,"22, 24–26, 35","Local web accessibility duties, exemptions, statement and remediation obligations",WCAG is a technical baseline; Israeli legal scope and required standard remain DATA REQUIRED.,
SRC-0035,"Israeli drug index, pharmacy and medicine-price source set",Ministry of Health / official drug sources,DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1,"18, 24","Drug reference, prescription/OTC boundary, price regulation, shortages, online pharmacy rules",No medicine-commerce recommendation may be made until exact licensed model and current official rules are verified.,
SRC-0036,Israeli medical-device and AMAR source set,Ministry of Health / AMAR,DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1,"16–18, 21, 24","Device registration/status, importer/manufacturer duties, advertising and sale constraints","Category, intended use, claims, professional-only status, and operator role require product-level verification.",
SRC-0037,Israeli payer/SHABAN/private-insurance source set,"HMOs, Ministry of Health, Capital Market Authority, official policy documents",DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1/B1,"1, 3, 14, 19, 27","Payer routes, reimbursement, supplementary insurance, private insurance and consumer decision paths","Coverage and reimbursement vary by plan, provider, policy, date, waiting period, and clinical criteria.",
SRC-0038,Google Search Console export,Google Search Console / owner,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"3, 4, 7, 12, 30, 32","Queries, pages, clicks, impressions, positions, countries/devices, indexing and sitemap evidence","Not supplied; required before URL consolidation, migration, or current-ranking conclusions.",
SRC-0039,GA4 analytics export,Google Analytics / owner,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"3, 7, 14, 27–32","Landing-page engagement, journeys, conversion events, acquisition and assisted outcomes","Not supplied; event quality, consent configuration, PII/health-data leakage, and sampling must be audited.",
SRC-0040,Full technical crawl and sitemap/redirect inventory,Owner / crawler,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"3, 7, 22, 25, 34–35","All URLs, status codes, canonicals, noindex, hreflang, structured data, internal links, depth, redirects",Not supplied; public spot checks are not a substitute.,
SRC-0041,Backlink and historical URL exports,Owner / Semrush/Ahrefs/Majestic / archives,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"3, 7, 11, 30, 34–35","Link equity, lost links, historical signals and migration risk",Not supplied; vendor metrics must be labeled by source/date.,
SRC-0042,"CMS, hosting, GitHub and deployment inventory",Owner / UPress / GitHub,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"22–24, 34–35","Live versions, plugins/themes, custom code, environments, backups, deployment, data residency and security dependencies",Not supplied; secrets and production credentials must not be included in ordinary research files.,
SRC-0043,"CRM, lead and booking event export",Owner / CRM,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"13–15, 23, 27–32","Lead definitions, routing, response, booking/show/sale/refund outcomes and lost reasons",Not supplied; export must minimize or pseudonymize personal and health data.,
SRC-0044,Provider and clinic supply inventory,Owner,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"1, 3, 13–15, 19, 27–29","Provider identities, verification state, specialty, locations, services, prices, payer routes, availability and contracts",Not supplied; licensing and sanctions/status must be independently re-verified.,
SRC-0045,"Supplier, manufacturer and product inventory",Owner,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"1, 16–18, 21, 27–29","Supplier identity, catalog, regulatory documents, price/margin, stock, warranty, service, fulfillment and contracts",Not supplied; no product should be represented as approved or available without evidence.,
SRC-0046,Financial model input pack,Owner / accountant,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"27–29, 33–34","Historic P&L, payroll, contractor, hosting, sales, marketing, refunds, chargebacks, working capital and financing assumptions",Not supplied; no 36-month model is produced in Wave 0.,
SRC-0047,"Contracts, policies and legal opinions",Owner / counsel,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"13–18, 20, 23–24, 27, 29, 35","Operating role, data processing, lead/booking terms, sponsorship, refunds, provider/supplier obligations, IP and liability",Not supplied; privileged material should be handled through an approved secure process.,
SRC-0048,Medical reviewer roster and capacity,Owner / medical governance,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"8–13, 19–20, 33–34","Reviewer identity, specialty, license/status, capacity, rates, conflicts, turnaround and re-review coverage",Not supplied; publication cadence must be constrained by verified review capacity.,
