cluster,entity_type,primary_keyword_he,english_meaning,transliteration,variants,intent,geography,volume,volume_source_date,trend,CPC,KD,SERP_features,current_hea_lth_url,current_rank,competitor_urls,business_value_1_5,medical_risk,proposed_url,url_state,decision,monetization_route,notes
Medical aesthetics,provider,רופא אסתטיקה,aesthetic medicine doctor,rofe estetika,רופא לרפואה אסתטית; רופא אסתטי,Provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/doctor-clinic-index/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/doctor-clinic-index/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Verified provider discovery; consultation request,Professional title/scope and credentials must be legally verified; do not imply a specialty that does not exist.
Medical aesthetics,provider,קליניקה לאסתטיקה רפואית,medical aesthetics clinic,klinika le-estetika refuit,מרפאה לאסתטיקה רפואית,Provider/clinic discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/aesthetic-clinics/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Verified clinic discovery; consultation request,Requires meaningful inventory and anti-doorway thresholds.
Medical aesthetics,location,רפואה אסתטית תל אביב,medical aesthetics Tel Aviv,refu'a estetít Tel Aviv,טיפולים אסתטיים תל אביב,Local/city provider discovery,"Tel Aviv, Israel",DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/aesthetic-medicine/tel-aviv/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Verified local provider discovery,"Create only when verified supply, unique local data and non-doorway value thresholds are met."
Medical aesthetics,location,רפואה אסתטית ירושלים,medical aesthetics Jerusalem,refu'a estetít Yerushalayim,טיפולים אסתטיים ירושלים,Local/city provider discovery,"Jerusalem, Israel",DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/aesthetic-medicine/jerusalem/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Verified local provider discovery,Create only when verified supply and unique local value thresholds are met.
Plastic and reconstructive surgery,hub,ניתוחים פלסטיים,plastic surgeries,nitukhim plastiyim,כירורגיה פלסטית; ניתוח פלסטי,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/plastic-surgery-consultation/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/plastic-surgery-consultation/,existing-linked-not-fetched,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Verified specialist discovery; consultation request,Required priority query; hub versus provider-list intent must be tested.
Plastic and reconstructive surgery,provider,מנתח פלסטי,plastic surgeon,menateakh plasti,כירורג פלסטי; רופא מנתח פלסטי,Provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/doctor-clinic-index/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/doctor-clinic-index/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Verified specialist discovery; consultation request,Required priority query; license/specialty verification is a launch gate.
Plastic and reconstructive surgery,procedure,ניתוח אף,rhinoplasty,nituakh af,רינופלסטיקה; ניתוח פלסטי באף,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/nose-surgery-cost/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/nose-surgery-cost/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Verified specialist discovery; consultation request,"Required priority query; current URL is cost-led, broad intent fit must be tested."
Plastic and reconstructive surgery,price,ניתוח אף מחיר,rhinoplasty price,nituakh af mekhir,מחיר ניתוח אף; עלות ניתוח אף,"Price, cost and financing",Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/nose-surgery-cost/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/nose-surgery-cost/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Consultation; price observation; financing referral only after legal review,Required priority query; methodology and package inclusions are essential.
Plastic and reconstructive surgery,recovery,ניתוח אף החלמה,rhinoplasty recovery,nituakh af hakhlama,החלמה אחרי ניתוח אף,"Risk, side effects and recovery",Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/nose-surgery-cost/,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/nose-surgery-cost/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Neutral provider discovery after education,Default to section unless SERP/user task is distinct.
Plastic and reconstructive surgery,risk,ניתוח אף סיכונים,rhinoplasty risks,nituakh af sikhunim,סיבוכים בניתוח אף,"Risk, side effects and recovery",Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/nose-surgery-cost/,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/nose-surgery-cost/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",No aggressive CTA; optional specialist questions/checklist,Specialist-reviewed risk content; commercial CTA must be context-sensitive.
Plastic and reconstructive surgery,procedure,הגדלת חזה,breast augmentation,hagdalat khaze,ניתוח הגדלת חזה; שתלי חזה,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/breast-augmentation-cost/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/breast-augmentation-cost/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Verified specialist discovery; consultation request,Required priority query; current URL is cost-led.
Plastic and reconstructive surgery,price,הגדלת חזה מחיר,breast augmentation price,hagdalat khaze mekhir,מחיר הגדלת חזה; עלות הגדלת חזה,"Price, cost and financing",Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/breast-augmentation-cost/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/breast-augmentation-cost/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Consultation; price observation; financing only after review,"Required priority query; implant, facility, anesthesia and follow-up inclusions must be explicit."
Plastic and reconstructive surgery,recovery,הגדלת חזה החלמה,breast augmentation recovery,hagdalat khaze hakhlama,החלמה אחרי הגדלת חזה,"Risk, side effects and recovery",Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/breast-augmentation-cost/,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/breast-augmentation-cost/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Neutral provider discovery after education,Default to section until distinct SERP intent is proven.
Plastic and reconstructive surgery,procedure,הקטנת חזה,breast reduction,haktanat khaze,ניתוח הקטנת חזה,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/breast-reduction/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Verified specialist discovery; consultation request,May include functional/reconstructive and payer routes; legal/coverage claims must be sourced.
Plastic and reconstructive surgery,procedure,הרמת חזה,breast lift,haramat khaze,מסטופקסיה; ניתוח הרמת חזה,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/breast-lift/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Verified specialist discovery; consultation request,Compare lift alone versus augmentation without automated suitability.
Plastic and reconstructive surgery,procedure,שאיבת שומן,liposuction,she'ivat shuman,ניתוח שאיבת שומן,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/liposuction/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Verified specialist discovery; consultation request,Required priority query.
Plastic and reconstructive surgery,price,שאיבת שומן מחיר,liposuction price,she'ivat shuman mekhir,מחיר שאיבת שומן,"Price, cost and financing",Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/liposuction/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Consultation; price observation,One canonical by default until SERP evidence supports separation.
Plastic and reconstructive surgery,procedure,מתיחת בטן,tummy tuck,metikhat beten,אבדומינופלסטיקה; ניתוח מתיחת בטן,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/tummy-tuck/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Verified specialist discovery; consultation request,High-risk surgery page; specialist review and complete recovery/risk coverage.
Plastic and reconstructive surgery,procedure,מתיחת פנים,facelift,metikhat panim,ניתוח מתיחת פנים,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/facelift/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Verified specialist discovery; consultation request,High visual/outcome-expectation risk.
Plastic and reconstructive surgery,procedure,הרמת עפעפיים,eyelid surgery,haramat af'apayim,בלפרופלסטיקה; ניתוח עפעפיים,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/eyelid-surgery/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Verified specialist discovery; consultation request,Functional versus cosmetic routes and specialist qualifications require research.
Plastic and reconstructive surgery,procedure,גינקומסטיה,gynecomastia surgery,ginekomastia,ניתוח הקטנת חזה לגבר,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/gynecomastia/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Verified specialist discovery; consultation request,Requires differential/medical evaluation discussion without diagnosis.
Plastic and reconstructive surgery,service,ניתוח פלסטי פרטי,private plastic surgery,nituakh plasti prati,כירורגיה פלסטית פרטית,Provider/clinic discovery + commercial investigation,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/plastic-surgery-consultation/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/plastic-surgery-consultation/,existing-linked-not-fetched,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Verified specialist/clinic discovery; consultation request,Likely hub/provider-intent overlap; do not proliferate without SERP evidence.
"Hair, skin and laser",procedure,השתלת שיער,hair transplant,hashtalat se'ar,השתלת שיער לגברים; השתלת זקיקים,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/hair-transplant-consultation/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/hair-transplant-consultation/,existing-linked-not-fetched,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Verified clinic/provider discovery; consultation request,Required priority query; existing linked page requires crawl.
"Hair, skin and laser",price,השתלת שיער מחיר,hair transplant price,hashtalat se'ar mekhir,מחיר השתלת שיער; עלות השתלת שיער,"Price, cost and financing",Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/hair-transplant-consultation/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/hair-transplant-consultation/,existing-linked-not-fetched,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Consultation; transparent price observation,"Required priority query; price may depend on graft count, method, location and aftercare."
