cluster,primary_keyword,secondary_keywords,intent,serp_page_type,target_url,url_state,decision,monetization_route,medical_review_level,serp_research_status,semrush_status,notes
Plastic and reconstructive surgery,ניתוחים פלסטיים,ניתוח פלסטי פרטי,Provider/clinic discovery + commercial investigation; Treatment/procedure education + provider discovery,Authority hub / decision guide,/plastic-surgery-consultation/,existing,keep-improve,Verified specialist discovery; consultation request; Verified specialist/clinic discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","2 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,ניתוח אף,ניתוח אף מחיר; ניתוח אף החלמה; ניתוח אף סיכונים,"Price, cost and financing; Risk, side effects and recovery; Treatment/procedure education + provider discovery",Integrated decision + price guide,/nose-surgery-cost/,existing,keep-improve,Consultation; price observation; financing referral only after legal review; Neutral provider discovery after education; No aggressive CTA; optional specialist questions/checklist; Verified specialist discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","4 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,הגדלת חזה,הגדלת חזה מחיר; הגדלת חזה החלמה,"Price, cost and financing; Risk, side effects and recovery; Treatment/procedure education + provider discovery",Integrated decision + price guide,/breast-augmentation-cost/,existing,keep-improve,Consultation; price observation; financing only after review; Neutral provider discovery after education; Verified specialist discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","3 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,הקטנת חזה,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/breast-reduction/,new,hold,Verified specialist discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,הרמת חזה,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/breast-lift/,new,hold,Verified specialist discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,שאיבת שומן,שאיבת שומן מחיר,"Price, cost and financing; Treatment/procedure education + provider discovery",Integrated decision + price guide,/liposuction/,new,hold,Consultation; price observation; Verified specialist discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. 2 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,מתיחת בטן,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/tummy-tuck/,new,hold,Verified specialist discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,מתיחת פנים,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/facelift/,new,hold,Verified specialist discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,הרמת עפעפיים,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/eyelid-surgery/,new,hold,Verified specialist discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Plastic and reconstructive surgery,גינקומסטיה,NONE IN WAVE 0 SEED,Treatment/procedure education + provider discovery,Medical education / treatment decision page,/gynecomastia/,new,hold,Verified specialist discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",השתלת שיער,השתלת שיער מחיר; השתלת שיער בישראל; השתלת שיער FUE; השתלת שיער DHI,"Local/national provider discovery; Price, cost and financing; Treatment method education; Treatment/procedure education + provider discovery",Provider/clinic listing or discovery page,/hair-transplant-consultation/,existing,keep-improve,Consultation; transparent price observation; Provider discovery after method education; Verified clinic/provider discovery; Verified clinic/provider discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","5 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",השתלת שיער בטורקיה,NONE IN WAVE 0 SEED,Medical travel + price + provider discovery,Service decision/coordination page,/medical-travel/hair-transplant-turkey/,new,hold,Paid concierge/coordination only with vetted partners and full disclosure,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",נשירת שיער,NONE IN WAVE 0 SEED,Symptom and condition education,Medical education / treatment decision page,/hair-loss/,new,hold,Provider discovery only after causes/red flags; eligible products separately governed,M2,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",טיפול בנשירת שיער,NONE IN WAVE 0 SEED,Treatment education and alternatives,Medical education / treatment decision page,/hair-loss/treatments/,new,hold,Provider discovery; eligible product navigation,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",PRP לשיער,NONE IN WAVE 0 SEED,Treatment/procedure education,Medical education / treatment decision page,/prp-hair-treatment/,new,hold,Provider discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",מינוקסידיל,NONE IN WAVE 0 SEED,Drug/active ingredient education,Medicine/ingredient/safety reference page,/medicines/minoxidil/,new,hold,Licensed pharmacy navigation only after legal model; no automated advice,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",הסרת שיער בלייזר,הסרת שיער בלייזר מחיר; הסרת שיער בלייזר לגברים,"Price, cost and packages; Treatment/procedure education; Treatment/procedure education + provider discovery",Integrated decision + price guide,/laser-hair-removal-private/,existing,keep-improve,Clinic discovery; transparent package comparison; Verified clinic discovery; Verified clinic discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","3 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",הסרת שיער בלייזר תל אביב,NONE IN WAVE 0 SEED,Local/city provider discovery,Provider/clinic listing or discovery page,/laser-hair-removal/tel-aviv/,new,hold,Verified local clinic discovery,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",טיפול באקנה,NONE IN WAVE 0 SEED,Condition and treatment education,Medical education / treatment decision page,/acne-treatment/,new,hold,Dermatologist discovery; eligible product navigation,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",צלקות אקנה,NONE IN WAVE 0 SEED,Condition and treatment education,Medical education / treatment decision page,/acne-scars/,new,hold,Dermatologist/aesthetics provider discovery,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",טיפול בלייזר לפנים,NONE IN WAVE 0 SEED,Treatment/procedure education,Medical education / treatment decision page,/facial-laser-treatments/,new,hold,Verified clinic/provider discovery,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",הצערת העור,NONE IN WAVE 0 SEED,Treatment options and alternatives,Authority hub / decision guide,/skin-rejuvenation/,new,hold,Provider discovery; product routes only when eligible,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,רופא פרטי,רופא מומחה פרטי; רופא פרטי מחיר; תור לרופא פרטי; ייעוץ רפואי פרטי,Booking and availability; Price + provider discovery; Provider discovery + booking,Provider/clinic listing or discovery page,/private-doctor-appointment/,existing,keep-improve,Provider discovery; price observation; Request-based appointment; first-booking fee only after contractual/legal validation; Verified provider discovery; appointment request; Verified provider discovery; request-based appointment; Verified specialist discovery; request-based appointment,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","5 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,רופא פרטי תל אביב,NONE IN WAVE 0 SEED,Local provider discovery,Provider/clinic listing or discovery page,/doctors/tel-aviv/,new,hold,Verified local provider discovery,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,רופא פרטי ירושלים,NONE IN WAVE 0 SEED,Local provider discovery,Provider/clinic listing or discovery page,/doctors/jerusalem/,new,hold,Verified local provider discovery,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,חוות דעת רפואית שנייה,חוות דעת רפואית שנייה מחיר; רופא מומחה לחוות דעת שנייה,Price + provider discovery; Provider discovery; Treatment decision support + provider discovery,Provider/clinic listing or discovery page,/medical-second-opinion/,existing,keep-improve,Consultation/concierge; transparent price observation; Verified specialist discovery; Verified specialist discovery; paid concierge/coordination,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","3 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,רופא אונליין פרטי,NONE IN WAVE 0 SEED,Remote care discovery,Service decision/coordination page,/private-online-doctor/,new,hold,Licensed provider booking only; no AI diagnosis,M4,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,רופא עד הבית,NONE IN WAVE 0 SEED,Provider discovery + booking,Service decision/coordination page,/doctor-home-visit/,new,hold,Verified provider discovery; request booking,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,החזר ביטוח על רופא פרטי,החזר שב״ן על ייעוץ פרטי,Insurance and reimbursement navigation,Medical education / treatment decision page,/health-insurance-refund/,existing,keep-improve,Neutral payer navigation; Neutral payer navigation; concierge only with disclosure,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","2 seed queries are provisionally consolidated on this URL. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",MRI פרטי,MRI פרטי מחיר; תור MRI פרטי; CT פרטי; CT פרטי מחיר; MRI ברך פרטי,Booking and availability; Price + booking; Test + booking; Test/diagnosis education + booking,Integrated decision + price guide,/mri-ct-appointment/,existing,keep-improve,Imaging-center discovery; price observation; Request-based booking; concierge; Verified imaging-center discovery; Verified imaging-center discovery; request booking,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","6 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",אולטרסאונד פרטי,NONE IN WAVE 0 SEED,Test education + booking,Test/diagnostic education + service discovery,/private-ultrasound/,new,hold,Verified imaging-center discovery; request booking,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
